molecule_name,pEC50
CNP0244066,4.810417712
CNP0020463,4.810733056
CNP0445353,4.810936276
CNP0234690,4.810975783
CNP0226219,4.811131724
CNP0355572,4.8111836
CNP0085780,4.811549474
CNP0085781,4.811549474
CNP0297868,4.811697306
CNP0257149,4.81175379
CNP0403736,4.81175379
CNP0448393,4.8118765
CNP0218547,4.811912648
CNP0184772,4.811921078
CNP0261927,4.811971443
CNP0203107,4.812072227
CNP0350355,4.81210931
CNP0472086,4.812119096
CNP0238250,4.812190628
CNP0331930,4.812190628
CNP0231800,4.812196123
CNP0325465,4.812358552
CNP0267152,4.812485033
CNP0388813,4.812485033
CNP0250942,4.81265185
CNP0225955,4.812783356
CNP0181381,4.812889953
CNP0398227,4.813353509
CNP0264475,4.813354835
CNP0274151,4.813354835
CNP0392104,4.813354835
CNP0390789,4.813399876
CNP0434929,4.813399876
CNP0265602,4.813440981
CNP0289295,4.813519712
CNP0227678,4.81354857
CNP0316126,4.813609689
CNP0419567,4.813845158
CNP0200833,4.813949163
CNP0355568,4.813949163
CNP0355581,4.813949163
CNP0183805,4.814023333
CNP0307819,4.814211832
CNP0301833,4.814417543
CNP0187039,4.814428798
CNP0261631,4.814445325
CNP0278375,4.814445325
CNP0217427,4.814635145
CNP0105066,4.814635418
CNP0214473,4.814635418
CNP0335240,4.814635418
CNP0353822,4.814751305
CNP0195951,4.815096222
CNP0228187,4.815129764
CNP0290126,4.815140935
CNP0210266,4.815168133
CNP0300859,4.815168133
CNP0305435,4.815230725
CNP0333891,4.815332477
CNP0250712,4.815473836
CNP0265264,4.815473836
CNP0029501,4.815526579
CNP0024631,4.815802341
CNP0214353,4.815908286
CNP0195649,4.815921426
CNP0218874,4.816109884
CNP0305973,4.816478032
CNP0318781,4.816676902
CNP0260358,4.816959899
CNP0382080,4.817037919
CNP0387612,4.817075842
CNP0233550,4.817099348
CNP0245863,4.817161505
CNP0416010,4.817175928
CNP0335681,4.817404569
CNP0291825,4.817491006
CNP0205291,4.817644868
CNP0188599,4.817795257
CNP0210919,4.81781251
CNP0429046,4.817939171
CNP0294928,4.817950733
CNP0278519,4.817996739
CNP0247767,4.817999458
CNP0262373,4.818050976
CNP0364459,4.818149003
CNP0413391,4.818185245
CNP0302579,4.818202295
CNP0223052,4.818222306
CNP0194414,4.818314679
CNP0205283,4.818314679
CNP0230058,4.818314679
CNP0236541,4.818314679
CNP0240546,4.818314679
CNP0240715,4.818314679
CNP0257814,4.818314679
CNP0277255,4.818314679
CNP0317070,4.818314679
CNP0226585,4.818347542
CNP0213800,4.818360872
CNP0255586,4.818403129
CNP0275614,4.818444864
CNP0221191,4.818462224
CNP0199539,4.818510737
CNP0102394,4.81856961
CNP0232938,4.818619257
CNP0322028,4.818619257
CNP0312377,4.818760161
CNP0192291,4.818849248
CNP0239923,4.818980002
CNP0330763,4.818980002
CNP0009570,4.819102264
CNP0306815,4.819175163
CNP0079986,4.819239806
CNP0079985,4.819239806
CNP0097670,4.819239806
CNP0242038,4.819345333
CNP0215146,4.819423888
CNP0332665,4.819423888
CNP0387013,4.819840884
CNP0219982,4.820127128
CNP0078539,4.820143609
CNP0078539,4.820143609
CNP0259731,4.820204432
CNP0311493,4.820204432
CNP0345811,4.820204432
CNP0358189,4.820278568
CNP0211532,4.820317581
CNP0306826,4.820363036
CNP0185481,4.820381006
CNP0363326,4.82042227
CNP0244825,4.820533908
CNP0372688,4.82064152
CNP0281525,4.820900157
CNP0429923,4.821043406
CNP0365496,4.82122786
CNP0283830,4.821429894
CNP0097113,4.82155294
CNP0355407,4.821686731
CNP0196842,4.821768364
CNP0272470,4.821768364
CNP0318511,4.821768364
CNP0432307,4.821829882
CNP0091671,4.821900362
CNP0242849,4.821900362
CNP0257722,4.821900362
CNP0309965,4.821900362
CNP0373881,4.821902535
CNP0385227,4.821903216
CNP0428770,4.821966959
CNP0241676,4.822003169
CNP0079151,4.822068824
CNP0079151,4.822068824
CNP0385589,4.822387703
CNP0199391,4.822396117
CNP0364381,4.822480554
CNP0227834,4.822514067
CNP0349448,4.82255532
CNP0264015,4.822580902
CNP0477335,4.822585221
CNP0240990,4.822607078
CNP0086850,4.822661723
CNP0086847,4.822661723
CNP0088182,4.822873196
CNP0088182,4.822873196
CNP0330780,4.822963098
CNP0377031,4.823099023
CNP0443062,4.823099023
CNP0236560,4.823172769
CNP0285833,4.823318301
CNP0308131,4.823425041
CNP0247771,4.823490058
CNP0332167,4.823592954
CNP0330618,4.823616426
CNP0435918,4.823824684
CNP0290026,4.823893343
CNP0075934,4.824133655
CNP0075935,4.824133655
CNP0290327,4.824222066
CNP0077710,4.824267512
CNP0077712,4.824267512
CNP0077710,4.824267512
CNP0077713,4.824267512
CNP0235191,4.824267512
CNP0328713,4.824267512
CNP0347018,4.824267512
CNP0438514,4.824401448
CNP0331558,4.824515277
CNP0086346,4.824556743
CNP0086344,4.824556743
CNP0419892,4.824792513
CNP0304169,4.824909016
CNP0340487,4.824909016
CNP0334674,4.824922346
CNP0397971,4.824922346
CNP0336317,4.825081009
CNP0353060,4.825149681
CNP0394240,4.825156127
CNP0427903,4.825156127
CNP0431722,4.825185487
CNP0432543,4.825185487
CNP0290115,4.825237651
CNP0308135,4.825328339
CNP0358204,4.825328339
CNP0273415,4.825330582
CNP0249531,4.825427217
CNP0291916,4.825427217
CNP0310417,4.825427217
CNP0200107,4.825487231
CNP0348837,4.825586202
CNP0193833,4.825659038
CNP0300598,4.825777539
CNP0211554,4.825798207
