O=C(O)C=1C=CC=CC1C(=O)OCC(CC(=O)O)CCCC CNP0017355
O=C(O)C=1C=CC=CC1C(=O)OCCCC(C)CCCC(=O)O CNP0017357
O=C(O)C=1C=CC=CC1C(=O)OCCCC(C)CCC(O)C CNP0017358
ClC1=CC(=C(Cl)C(Cl)=C1Cl)C=2C=CC=CC2 CNP0017378
ClC=1C=C(Cl)C(=C(Cl)C1Cl)C=2C(Cl)=C(Cl)C=C(Cl)C2Cl CNP0017389
ClC=1C=C(C=C(Cl)C1Cl)C=2C(Cl)=C(Cl)C(O)=C(Cl)C2Cl CNP0017390
ClC=1C=C(Cl)C(Cl)=C(C1)C=2C(Cl)=C(Cl)C=C(Cl)C2Cl CNP0017443
ClC=1C=CC(=CC1)C2=CC=C(Cl)C=C2Cl CNP0017461
ClC=1C=C(C=C(Cl)C1Cl)C=2C=C(Cl)C(Cl)=C(Cl)C2 CNP0017466
ClC=1C=C2OC=3C(Cl)=C(Cl)C(Cl)=C(Cl)C3OC2=C(Cl)C1Cl CNP0017471
O=C(OC1=CC(OC)=C(Cl)C=2OC(C=3C=CC=CC3)CC(=O)C12)C CNP0017483
O=C(OCC1=NC=CC=2C(=O)C(=C(OC)C(=O)C21)C)C CNP0017495
O=C(O)CCCC=CCCCCCCCCCCCCC(C)CCCCCCC CNP0017525
O=C(O)CCCC=CCC(O)C=CC=CC(O)C=CCC=CCC CNP0017540
O=C(OC1C=CC2(C)C(OC(=O)C)CC(OC(=O)CCCCCCC)C(=CC3OC(=O)C4(OC34C(OC(=O)C)C2C1(O)C)C)C)C CNP0017588
O=C(O)C(Br)(C(=O)O)CCOC1=CC=C(Cl)C=C1Cl CNP0017609
O=C(OC1CC2(OC2C3OC(=O)C4(OC34C(OC(=O)C)C5C(C(=O)C=CC5(C)C1OC(=O)C)C)C)C)C CNP0017628
O=C(OCC(=CC=CC(O)(C)C)C1CCC(=CC(OC(=O)C)CC(=C)C1COC(=O)C)C)C CNP0017732
O=CCCCC=CCC1C(O)=CC(=O)C1C=CC(O)CCCCC CNP0017770
O=C(OCC1(C)C(O)CCC2(C)C3CC(=O)C(=C(C=CC=C(C)C(OC(=O)C)CC=C(C)C)C)C3(C)CCC12)C CNP0018036
O=C(O)C1C(=C)CCC2C1(C)CCC3C(C)(C)CCCC32C CNP0018119
O=C(O)CCC(NC(=O)CN)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)CC(=O)N)C(C)C)C)CC(=O)O)CC(C(=O)O)C(=O)O)CCCNC(=N)N)C)CC(C)C)CC(C(=O)O)C(=O)O)C)C)CCSC)CCCCN)C)C(C)C)CC(C(=O)O)C(=O)O)CC(C(=O)O)C(=O)O CNP0018158
O=C(OC1CC(=CC2OC(=O)C3(OC23C(OC(=O)C)C4C(C)C(O)C(O)C(OC(=O)C)C4(C)C1OC(=O)C)C)C)C CNP0018388
O=C(C)C1CCC2C3C(=CCC12C)C4(C)CCC(OS(=O)(=O)O)CC4C(OC5OC(C)C(OS(=O)(=O)O)C(O)C5O)C3 CNP0018459
O=C1OC2C=C1CC(=O)C(C(=C)C)CC34OC5(OC5C4(O3)C(=O)OC)C2C(=C)C CNP0018506
O=C(O)CCC=CCCCCCCCC(C)C CNP0018516
O=C(OC1C(=C)CC2OC(C3C2C(=C)CCC3C(C)C)C(OC(=O)CCC)(C)CC1)C CNP0018523
O=C(O)C(C)C1OOC(C)(CC1)CCC2(C)C(C)CCC3(O)C2CCCC3(C)C CNP0018533
O=C(O)C(C)CCCCCCCCCCCC(C)CCCCCC(C)CCCCCC CNP0018535
O=C(O)CCCCCCC=CCCCCC(C)CC CNP0018637
O=C(OC(CC=C(C)C)C(C)C1CC(O)C(=C)C2CC=C(C)C2C1O)C CNP0018671
O=C(O)CC(C)CCCCCCCCCCCC CNP0018672
O=C(O)CCC=CCC=CCC=CC(O)C(O)C(O)CC=CCC=CCC CNP0018740
O=C(OC1C2=C(C)CC(O)C(C(OC(=O)C)C3C(=C)C(O)CCC3(C)C1OC(=O)C)C2(C)C)C CNP0018789
O=C(OCC1(C)C2C3C=C(COC(=O)C)CC4(O)C(=O)C(=CC4C3(O)C(C)CC21OC(=O)C(C)C)C)C(=CC)C CNP0018818
O=C(O)C1(C)C(O)CCC2(C)C1C=CC3C4CCC(C(C(=O)CCC(C)C)C)C4(C)CCC32 CNP0018872
OC=1C=C(C=C(O)C1O)CC=C CNP0018885
O=C1C=C(OC2=CC=CC(OC3OC(CO)C(O)C(O)C3O)=C12)C=4C=CC=CC4 CNP0019105
O=C(O)CCC(=O)C1=CC=CC(O)C1C(=O)O CNP0020463
O=C1OCC(CC=2C=CC=C(O)C2)C1C(O)C=3C=CC=C(O)C3 CNP0021823
O=C1OC=2C=CC(=CC2C(=C1)C=3OC=4C=CC(Cl)=CC4C3C)C CNP0021929
O=C(OC1=CC=C2C(=O)C(OC2=C1)=CC=3C(F)=CC=CC3Cl)C4CCCCC4 CNP0021967
O=C1OC=2C=C(O)C=CC2C=C1C3=CC=CC(Cl)=C3 CNP0022373
O=C(C1=CC=C(O)C=C1)C=2C=3C=CC=CC3OC2CCCC CNP0022541
O=C(C1=CC=C(O)C=C1O)COC=2C=CC=CC2OCC CNP0022887
O=C(OC1=CC=C2C(OC(=CC=3C=CC=C(Cl)C3)C2=O)=C1)C=4C=CC=C(OC)C4 CNP0023318
ClC1=CC=C(C=C1)NCN2N=NC=3C=CC=CC32 CNP0023423
O=C(OC)C1C=2C=CC=CC2C=3C=CC=CC31 CNP0023921
O=C1OC=2C(=CC=C3OCN(CC32)C4CCS(=O)(=O)C4)C(=C1C=5C=CC(OC)=C(OC)C5)C CNP0024460
O=C1OC2=CC(=C(Cl)C=C2C(=C1C3=CC=CC(Cl)=C3)C)C CNP0024520
O=C1C(OC2=CC(=CC=C21)NC3=CC=C(C=C3)C)=CC=4C=CC=C(OC)C4OC CNP0024631
ClC=1C=CC(=CC1Cl)C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl CNP0024667
O=C1OC2C3OOC(C3C(O)(C)C)C4(O)CC5OC15C24C CNP0025031
O=C1CC2CC(C#C)C(O)CC2(C)C3CCC4(C(=O)CCC4C13)C CNP0025310
O=C(OCC)C1=CC=C(OC=2C(=O)C3=CC=C4OCN(CC4=C3OC2C)C5CCS(=O)(=O)C5)C=C1 CNP0025402
O=C(C=CC1=CC=C(O)C=C1)CC(=O)CC(O)C2=CC=C(O)C=C2 CNP0025738
O=C1OC(CC)(CC)C2(OC(C)(C)C1CC2)C CNP0026010
O=C1C=2C=CC=CC2C(=O)C3=C(Cl)C(=CC(Cl)=C13)C CNP0026058
O=C1OC2=CC(=C(Cl)C(=C2C(=C1)CN3CCOCC3)C)C CNP0026067
O=C(O)C=1C=CC=CC1C(=O)NCC2OCC3=NC=CN3C2 CNP0026176
O=C1C=2C=CC=C(Cl)C2OC(C3=CC=C(C=C3)C)C1 CNP0026379
O=C(OCC)C1=C(OC2=CC=C(OCC3=CC=C(Cl)C=C3)C=C21)C=4C=CC(OC)=CC4 CNP0026424
O=C1OC(C2=COC=C2)C3(C(=C1)C4CC5C(=O)C(C)(C4CC3)C(CC(=O)OC)C(C)(C)C5Cl)C CNP0026916
O=C(OC1=CC=C2C(=O)C(OC2=C1)=CC3=CC(Cl)=CC4=C3OCOC4)C5=CC=C(F)C=C5 CNP0026948
O=C(OC1CCCCC1)NC(C(F)(F)F)C(F)(F)F CNP0027060
O=C1OC2=CC=C(Cl)C=C2C(C=3C=CC=CC3)=C1C=4C=CC(OC)=CC4 CNP0027198
O=C1OC=2C=C(O)C=CC2C(=C1C3=CC=CC(Br)=C3)C CNP0027578
O=C1C=2C(OC(C3=CC=C(O)C=C3)C1)=CC(OC)=C(O)C2OC CNP0027603
O=C(OC1=CC=C(F)C=C1C(=O)C=CC2=CC=C(F)C=C2)C=3C=CC=CC3Br CNP0027678
O=C(O)CCCC(=O)NCC1N2CCC(C1)C(C3=NC(=NC(=C3)C=4SC=CC4)C)C2 CNP0027754
O=C(OC1CCC2(C)C3C(=O)C=C4C5CC(C(=O)OCCN6CCCCC6)(C)CCC5(C)CCC4(C)C3(C)CCC2C1(C)C)C CNP0027862
ClC1=CC=C(OCC(O)CO)C=C1 CNP0028079
O=C(OC1C2CC3C1C(OC(=O)C)(CC2OC)C4C(OC)C5C6(COC)CN(CC)C4C35C(OC)CC6O)C=CC=7C=CC=CC7 CNP0028333
O=C(C1=CC=CC=2C=CC=CC21)C(=NNC3=CC=C(C=C3)C)S(=O)(=O)C=4C=CC=CC4 CNP0028394
O=C1C(OC2=CC(O)=CC=C12)=CC=3C=CC=CC3Br CNP0028600
O=C1OC2=C(OCC(OC3OC(CO)C(O)C(O)C3O)C(O)(C)C)C=4OCCC4C(OC)=C2C=C1 CNP0028623
O=C1C=C2C(CCC3(C)C(CCC23O)C(C)CCCC(C)C)C4(C)CCC(=O)CC14 CNP0028640
O=C(N)C(O)C(O)C CNP0028681
O=C(NC=1C=CC=2OC(C(=O)C3=CC=C(OC)C=C3)=C(C2C1)C)C=4C=C(OC)C=C(OC)C4 CNP0028908
O=C1C=CC2(C(=C1)CCC3C4CCC(O)(C(=O)CSCCO)C4(C)CC(O)C32)C CNP0029208
O=C(C=CC1=CC=C(C=C1)S(=O)(=O)NC=2C=CC=CC2Cl)NNC(=S)NCC3OCCC3 CNP0029298
O=C(O)CCC(C)C1CCC2C3C=CC4CC(O)CCC4(C)C3CC(O)C12C CNP0029501
O=C(OC1=CC=C(Cl)C=C1)C2=CC=C(C=C2)C(=O)OC3=CC=C(Cl)C=C3 CNP0029553
O=C1C(Cl)(Cl)C2C=CC(C1(Cl)Cl)C32CC3 CNP0029560
FC(F)(F)C(Br)COC CNP0029690
